idProducto,nombre,descripcion,precio,stock
1,Laptop,Portátil con pantalla Full HD y SSD de 512GB,899,10
2,Smartphone,Teléfono con cámara de 108MP y carga rápida,499,12
3,Tablet,Dispositivo con pantalla táctil de 10 pulgadas,299,15
4,Auriculares,Audífonos inalámbricos con cancelación de ruido,129,18
5,Teclado,Teclado mecánico con iluminación RGB,89,30
6,Mouse,Ratón inalámbrico con sensor óptico de alta precisión,59,50
7,Monitor,Pantalla LED 4K de 27 pulgadas,499,12
8,Impresora,Láser multifuncional con Wi-Fi,179,18
9,Cámara,Cámara digital con lente profesional,799,8
10,Smartwatch,Reloj inteligente con GPS y monitoreo cardíaco,199,22
11,Silla Gamer,Silla ergonómica ajustable con soporte lumbar,299,14
12,Microondas,Horno microondas con múltiples funciones,129,40
13,Refrigerador,Frigorífico doble puerta con sistema No Frost,1199,5
14,Lavadora,Lavadora automática con capacidad de 10kg,599,7
15,Cafetera,Cafetera express con vaporizador de leche,149,35
16,Drone,Drone con cámara 4K y estabilizador,699,9
17,Bocina Bluetooth,Altavoz portátil con sonido envolvente,89,33
18,Videocámara,Videocámara profesional con grabación en 4K,999,6
19,TV LED,Televisor inteligente de 55 pulgadas con HDR,749,11
20,Batería Externa,Batería de 20000mAh con carga rápida,39,45
21,Disco Duro,Disco duro externo de 2TB,129,28
22,Memoria USB,Pendrive de 128GB,29,60
23,Router,Router Wi-Fi 6 de alta velocidad,199,16
24,Joystick,Control inalámbrico para videojuegos,79,20
25,Fuente de Poder,Fuente de alimentación para PC de 750W,89,17
26,SSD,Unidad de almacenamiento SSD de 1TB,149,32
27,Altavoces,Par de bocinas estéreo con subwoofer,139,23
28,Webcam,Cámara web Full HD con micrófono integrado,69,37
29,Procesador,CPU Intel i7 de última generación,349,9
30,Motherboard,Placa base compatible con procesadores modernos,199,13
31,Memoria RAM,Módulo de RAM DDR4 de 16GB,79,41
32,Fuente Solar,Panel solar portátil con batería integrada,249,4
33,Control Remoto,Mando universal para TV y dispositivos,24,50
34,Termostato,Termostato digital programable,99,22
35,Smart Lock,Cerradura electrónica con huella digital,199,6
36,Proyector,Proyector LED con resolución Full HD,299,12
37,Switch Ethernet,Switch de red de 8 puertos,59,38
38,Reloj Digital,Reloj inteligente con pantalla AMOLED,89,26
39,Luces LED,Tiras LED RGB con control remoto,39,55
40,Estabilizador,Estabilizador de voltaje para dispositivos electrónicos,159,10
41,Cargador Inalámbrico,Base de carga inalámbrica rápida,49,30
42,HDD Externo,Disco duro portátil de 4TB,179,15
43,Micrófono,Micrófono profesional para grabación,149,7
44,Altavoz Inteligente,Asistente de voz con altavoz integrado,129,20
45,Antena Wi-Fi,Amplificador de señal inalámbrico,79,33
46,Climatizador,Aire acondicionado portátil con control remoto,299,5
47,Raspberry Pi,Kit de desarrollo con Raspberry Pi 4,129,19
48,Capturadora,Placa de captura de video en alta resolución,199,8
49,Smart Plug,Enchufe inteligente compatible con asistentes virtuales,39,42
50,Timbre Inteligente,Timbre con cámara y conexión a Wi-Fi,149,10
